Datum,IntensivbettenGesamt,IntensivbettenBelegt,IntensivBettenFrei,COVID19FaelleAktuell,COVID19FaelleBeatmet,Quelle
1593396000,31710,20070,11640,328,181,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593399600,31701,20064,11637,327,181,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593403200,31706,20063,11643,327,181,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593406800,31714,20063,11651,326,181,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593410400,31870,20130,11740,321,177,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593414000,32117,20228,11889,322,177,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593417600,32314,20304,12010,328,183,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593421200,32365,20360,12005,330,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593424800,32349,20351,11998,332,183,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593428400,32391,20398,11993,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593432000,32398,20406,11992,332,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593435600,32402,20406,11996,332,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593439200,32400,20405,11995,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593442800,32412,20407,12005,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593450000,32411,20404,12007,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593457200,32408,20402,12006,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593460800,32405,20402,12003,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593464400,32376,20381,11995,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593471600,32375,20378,11997,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593475200,32374,20382,11992,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593478800,32375,20385,11990,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593482400,32377,20387,11990,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593486000,32376,20388,11988,331,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593489600,32375,20394,11981,330,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593493200,32388,20509,11879,330,182,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593496800,32432,20677,11755,328,181,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593500400,32437,20864,11573,337,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593504000,32472,20960,11512,338,175,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593507600,32465,20985,11480,339,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593511200,32504,20997,11507,337,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593514800,32517,21003,11514,336,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593518400,32522,21002,11520,335,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593522000,32525,21006,11519,335,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593525600,32525,21009,11516,335,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593529200,32526,21009,11517,335,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593532800,32528,21009,11519,335,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593536400,32528,21012,11516,335,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593543600,32526,21010,11516,335,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593547200,32515,21004,11511,335,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593558000,32505,20996,11509,335,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593561600,32505,20995,11510,335,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593565200,32504,20993,11511,336,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593568800,32504,20991,11513,336,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593572400,32504,20985,11519,336,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593576000,32507,20980,11527,336,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593579600,32532,21000,11532,333,172,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593583200,32571,21201,11370,334,172,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593586800,32578,21308,11270,332,170,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593590400,32633,21375,11258,328,168,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593594000,32633,21390,11243,327,168,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593597600,32614,21408,11206,328,169,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593601200,32616,21405,11211,329,170,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593604800,32614,21407,11207,331,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593608400,32614,21405,11209,331,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593612000,32617,21404,11213,331,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593615600,32637,21403,11234,331,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593619200,32659,21421,11238,331,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593622800,32643,21411,11232,331,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593626400,32636,21411,11225,331,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593630000,32596,21378,11218,331,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593644400,32593,21380,11213,331,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593648000,32594,21381,11213,330,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593651600,32594,21380,11214,330,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593655200,32594,21382,11212,330,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593658800,32592,21380,11212,330,171,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593662400,32590,21398,11192,332,172,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593666000,32607,21400,11207,334,174,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593669600,32601,21379,11222,329,172,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593673200,32655,21476,11179,331,168,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593676800,32636,21507,11129,333,166,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593680400,32631,21570,11061,330,163,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593684000,32643,21526,11117,327,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593687600,32644,21527,11117,327,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593691200,32644,21522,11122,327,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593694800,32644,21525,11119,327,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593698400,32644,21521,11123,327,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593705600,32642,21521,11121,327,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593709200,32609,21510,11099,326,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593712800,32587,21494,11093,326,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593716400,32552,21475,11077,324,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593720000,32549,21474,11075,324,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593723600,32501,21441,11060,324,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593727200,32502,21443,11059,324,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593730800,32494,21434,11060,324,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593734400,32494,21436,11058,324,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593738000,32495,21438,11057,326,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593741600,32495,21436,11059,326,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593748800,32478,21419,11059,324,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593752400,32487,21385,11102,324,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593756000,32473,21357,11116,321,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593759600,32288,21308,10980,323,169,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593763200,32322,21283,11039,314,159,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593766800,32356,21338,11018,317,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593770400,32361,21319,11042,318,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593774000,32361,21309,11052,318,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593777600,32358,21310,11048,321,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593781200,32353,21308,11045,321,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593784800,32354,21313,11041,321,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593788400,32353,21314,11039,321,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593795600,32333,21307,11026,322,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593799200,32319,21296,11023,322,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593806400,32320,21297,11023,322,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593810000,32260,21269,10991,322,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593813600,32255,21269,10986,322,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593817200,32238,21252,10986,322,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593820800,32238,21257,10981,322,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593824400,32240,21255,10985,323,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593835200,32217,21243,10974,323,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593838800,32207,21216,10991,324,162,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593842400,32372,21210,11162,320,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593846000,32371,21058,11313,320,162,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593849600,32380,20990,11390,320,163,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593853200,32389,20931,11458,323,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593856800,32401,20919,11482,322,159,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593860400,32415,20906,11509,322,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593864000,32411,20904,11507,322,161,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593867600,32411,20890,11521,320,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593871200,32415,20888,11527,320,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593874800,32415,20882,11533,320,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593878400,32413,20881,11532,320,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593882000,32399,20872,11527,320,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593885600,32383,20861,11522,320,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593889200,32373,20856,11517,320,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593892800,32372,20854,11518,320,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593896400,32337,20826,11511,320,160,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593900000,32311,20819,11492,317,159,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593903600,32304,20817,11487,317,159,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593910800,32322,20829,11493,317,159,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593914400,32321,20833,11488,317,159,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593918000,32321,20831,11490,317,159,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593921600,32325,20834,11491,317,159,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593925200,32318,20806,11512,316,159,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593928800,32319,20746,11573,314,158,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593932400,32278,20549,11729,306,156,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593936000,32326,20454,11872,300,149,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593939600,32323,20377,11946,297,149,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593943200,32322,20317,12005,298,149,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593946800,32318,20330,11988,299,149,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593950400,32317,20330,11987,299,149,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593954000,32312,20318,11994,299,149,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593957600,32316,20320,11996,299,149,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593961200,32326,20317,12009,299,149,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593964800,32305,20292,12013,299,149,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593968400,32149,20180,11969,295,148,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593972000,31892,20014,11878,292,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593975600,31827,19975,11852,292,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593979200,31728,19880,11848,291,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593982800,31572,19771,11801,291,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593986400,31541,19747,11794,290,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593990000,31539,19748,11791,290,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593993600,31535,19751,11784,290,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1593997200,31531,19749,11782,290,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594000800,31519,19734,11785,290,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594004400,31458,19695,11763,290,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594008000,31472,19696,11776,291,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594011600,31558,19772,11786,291,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594015200,31787,19839,11948,307,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594018800,31979,19990,11989,309,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594022400,32110,20125,11985,309,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594026000,32241,20231,12010,307,144,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594029600,32263,20238,12025,305,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594033200,32306,20268,12038,305,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594036800,32347,20297,12050,305,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594040400,32354,20297,12057,304,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594044000,32373,20314,12059,304,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594047600,32378,20323,12055,305,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594051200,32379,20323,12056,305,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594054800,32403,20344,12059,306,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594062000,32402,20345,12057,306,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594065600,32372,20326,12046,306,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594069200,32355,20309,12046,306,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594072800,32356,20313,12043,307,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594076400,32363,20312,12051,307,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594080000,32365,20312,12053,307,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594083600,32368,20308,12060,307,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594090800,32368,20309,12059,307,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594094400,32383,20326,12057,306,146,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594098000,32398,20370,12028,307,147,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594101600,32450,20567,11883,303,147,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594105200,32468,20784,11684,297,144,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594108800,32522,20897,11625,296,143,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594112400,32552,20955,11597,297,144,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594116000,32573,20971,11602,298,144,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594119600,32577,20970,11607,299,144,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594123200,32582,20983,11599,298,144,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594126800,32583,20983,11600,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594130400,32582,20980,11602,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594134000,32586,20984,11602,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594137600,32595,20997,11598,298,144,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594141200,32596,20995,11601,298,144,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594144800,32566,20967,11599,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594148400,32554,20961,11593,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594152000,32408,20871,11537,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594155600,32388,20867,11521,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594159200,32382,20863,11519,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594162800,32379,20869,11510,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594166400,32382,20867,11515,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594170000,32385,20866,11519,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594173600,32391,20869,11522,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594177200,32378,20864,11514,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594180800,32377,20874,11503,299,145,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594184400,32381,20894,11487,297,144,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594188000,32380,20966,11414,299,142,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594191600,32392,20997,11395,298,140,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594195200,32378,21034,11344,295,140,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594198800,32400,21077,11323,293,141,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594202400,32380,21081,11299,292,141,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594206000,32381,21076,11305,291,141,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594209600,32399,21078,11321,292,141,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594213200,32400,21089,11311,291,141,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594216800,32400,21085,11315,291,141,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594220400,32415,21098,11317,292,141,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594224000,32415,21099,11316,292,141,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594227600,32378,21065,11313,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594231200,32303,21001,11302,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594234800,32261,20971,11290,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594238400,32238,20961,11277,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594242000,32234,20966,11268,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594245600,32234,20967,11267,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594249200,32234,20964,11270,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594252800,32232,20967,11265,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594256400,32232,20965,11267,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594260000,32232,20964,11268,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594263600,32234,20970,11264,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594267200,32239,20978,11261,290,139,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594270800,32242,21006,11236,290,138,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594274400,32246,21036,11210,280,136,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594278000,32254,21085,11169,279,137,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594281600,32278,21121,11157,277,135,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594285200,32275,21118,11157,277,134,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594288800,32276,21089,11187,275,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594292400,32287,21092,11195,275,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594296000,32286,21090,11196,275,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594299600,32286,21092,11194,275,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594303200,32281,21072,11209,276,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594314000,32272,21066,11206,276,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594317600,32246,21045,11201,276,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594321200,32227,21040,11187,276,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594324800,32214,21028,11186,276,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594328400,32202,21021,11181,276,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594332000,32202,21026,11176,276,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594335600,32201,21020,11181,276,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594339200,32200,21025,11175,276,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594342800,32200,21026,11174,276,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594346400,32199,21022,11177,276,133,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594353600,32194,21006,11188,277,135,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594357200,32193,21044,11149,277,135,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594360800,32192,21097,11095,273,134,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594368000,32247,21137,11110,277,132,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594371600,32296,21204,11092,278,134,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594375200,32292,21201,11091,278,132,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594378800,32422,21305,11117,275,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594382400,32436,21311,11125,275,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594386000,32435,21299,11136,273,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594389600,32435,21289,11146,273,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594393200,32435,21291,11144,272,129,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594396800,32436,21290,11146,272,129,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594400400,32424,21281,11143,273,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594407600,32341,21241,11100,273,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594411200,32376,21266,11110,273,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594414800,32368,21260,11108,273,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594418400,32363,21257,11106,273,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594422000,32333,21235,11098,273,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594425600,32324,21236,11088,273,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594432800,32324,21233,11091,273,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594436400,32309,21230,11079,273,130,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594440000,32310,21223,11087,272,129,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594443600,32294,21205,11089,271,128,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594447200,32310,21209,11101,267,127,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594450800,32280,21149,11131,264,127,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594454400,32349,21110,11239,260,129,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594458000,32384,21086,11298,255,127,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594461600,32396,21053,11343,252,127,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594465200,32393,21048,11345,250,126,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594468800,32391,21044,11347,250,126,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594472400,32398,21048,11350,250,126,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594476000,32409,21051,11358,250,126,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594479600,32401,21049,11352,250,126,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594483200,32400,21051,11349,250,126,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594490400,32307,20968,11339,250,125,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594494000,32270,20939,11331,250,125,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594497600,32251,20918,11333,250,125,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594501200,32244,20912,11332,250,125,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
1594504800,32235,20910,11325,250,125,https://diviexchange.z6.web.core.windows.net/laendertabelle1.svg
